speaker,token,diortri,focus_condition,focus_no,citation_tone,sandhi_tone,sandhi_tone_var,citation_no,ind_no,sync_tone1,sync_tone2,sync_tone3,hist_tone1,hist_tone2,hist_tone3,syntax
S1,青椒,di,ct,,HH_HH,HMML,RFLL,1,S1_1_ct,HH,HH,,yinping,yinping,,L
S1,水牛,di,ct,,HH_RF,MHHL,,2,S1_2_ct,HH,RF,,yinshang,yangping,,L
S1,书包,di,ct,,HH_HH,HMML,RFLL,3,S1_3_ct,HH,HH,,yinping,yinping,,L
S1,买布,di,ct,,LH_HL,LLHL,,4,S1_4_ct,LH,HL,,yangshang,yinqu,,V
S1,苦瓜,di,ct,,HH_HH,MHHL,,5,S1_5_ct,HH,HH,,yinshang,yinping,,L
S1,黄瓜,di,ct,,RF_HH,LLHH,LLMH,6,S1_6_ct,RF,HH,,yangping,yinping,,L
S1,手机,di,ct,,HH_HH,MHHL,,7,S1_7_ct,HH,HH,,yinshang,yinping,,L
S1,老店,di,ct,,RF_HL,LLHL,LMHL,8,S1_8_ct,RF,HL,,yangshang,yinqu,,M
S1,樱花,di,ct,,HH_HH,MHHL,,9,S1_9_ct,HH,HH,,yinping,yinping,,L
S1,开店,di,ct,,HH_HL,MHHL,,10,S1_10_ct,HH,HL,,yinping,yinqu,,V
S1,青菜,di,ct,,HH_HL,HMML,RFLL,11,S1_11_ct,HH,HL,,yinping,yinqu,,L
S1,小门,di,ct,,HH_RF,MHHL,,12,S1_12_ct,HH,RF,,yinshang,yangping,,M
S1,采花,di,ct,,HH_HH,HMML,,13,S1_13_ct,HH,HH,,yinshang,yinping,,V
S1,小店,di,ct,,HH_HL,MHHL,,14,S1_14_ct,HH,HL,,yinshang,yinqu,,M
S1,海带,di,ct,,HH_HL,MHHL,,15,S1_15_ct,HH,HL,,yinshang,yinqu,,L
S1,黄布,di,ct,,RF_HL,LMML,LHML,16,S1_16_ct,RF,HL,,yangping,yinqu,,M
S1,樱桃,di,ct,,HH_RF,MHHL,,17,S1_17_ct,HH,RF,,yinping,yangping,,L
S1,修门,di,ct,,HH_RF,MHHL,,18,S1_18_ct,HH,RF,,yinping,yangping,,V
S1,草莓,di,ct,,HH_RF,MHHL,,19,S1_19_ct,HH,RF,,yinshang,yangping,,L
S1,老车,di,ct,,RF_HH,LLHL,LMHL,20,S1_20_ct,RF,HH,,yangshang,yinping,,M
S1,书房,di,ct,,HH_RF,HMML,RFLL,21,S1_21_ct,HH,RF,,yinping,yangping,,L
S1,买饭,di,ct,,LH_LH,LLLH,,22,S1_22_ct,LH,LH,,yangshang,yangqu,,V
S1,手链,di,ct,,HH_RF,MHHL,,23,S1_23_ct,HH,RF,,yinshang,yangqu,,L
S1,造纸,di,ct,,RF_HH,,,24,S1_24_ct,RF,HH,,yangqu,yinshang,,V
S1,青豆,di,ct,,HH_LH,HMML,RFLL,25,S1_25_ct,HH,LH,,yinping,yangqu,,L
S1,小树,di,ct,,HH_LH,MHHL,,26,S1_26_ct,HH,LH,,yinshang,yangqu,,M
S1,扁豆,di,ct,,HH_LH,MHHL,,27,S1_27_ct,HH,LH,,yinshang,yangqu,,L
S1,黄绳,di,ct,,RF_RF,LLLM,,28,S1_28_ct,RF,RF,,yangping,yangping,,M
S1,梅花,di,ct,,RF_HH,LLHH,LLMH,29,S1_29_ct,RF,HH,,yangping,yinping,,L
S1,开锁,di,ct,,HH_HH,HMML,,30,S1_30_ct,HH,HH,,yinping,yinshang,,V
S1,皮袄,di,ct,,RF_HH,LLHH,LLMH,31,S1_31_ct,RF,HH,,yangping,yinshang,,M
S1,买茶,di,ct,,LH_RF,LLRF,,32,S1_32_ct,LH,RF,,yangshang,yangping,,V
S1,油菜,di,ct,,RF_HL,LMML,,33,S1_33_ct,RF,HL,,yangping,yinqu,,L
S1,采桃,di,ct,,HH_RF,MMMH,,34,S1_34_ct,HH,RF,,yinshang,yangping,,V
S1,杨梅,di,ct,,RF_RF,LLLM,,35,S1_35_ct,RF,RF,,yangping,yangping,,L
S1,买花,di,ct,,LH_HH,LLHH,,36,S1_36_ct,LH,HH,,yangshang,yinping,,V
S1,杨桃,di,ct,,RF_RF,LLLM,,37,S1_37_ct,RF,RF,,yangping,yangping,,L
S1,新店,di,ct,,HL_HL,,,38,S1_38_ct,HL,HL,,yinping,yinqu,,M
S1,皮鞋,di,ct,,RF_RF,LLLM,,39,S1_39_ct,RF,RF,,yangping,yangping,,M
S1,开路,di,ct,,HH_LH,HMML,,40,S1_40_ct,HH,LH,,yinping,yangqu,,V
S1,黄豆,di,ct,,RF_LH,LLLM,,41,S1_41_ct,RF,LH,,yangping,yangqu,,L
S1,修车,di,ct,,HH_HH,HMML,,42,S1_42_ct,HH,HH,,yinping,yinping,,V
S1,小车,di,ct,,HH_HH,MHHL,,43,S1_43_ct,HH,HH,,yinshang,yinping,,M
S1,老路,di,ct,,RF_LH,LLHL,LMHL,44,S1_44_ct,RF,LH,,yangshang,yangqu,,M
S1,新车,di,ct,,HL_HH,HMML,RFLL,45,S1_45_ct,HL,HH,,yinping,yinping,,M
S1,造船,di,ct,,RF_RF,,,46,S1_46_ct,RF,RF,,yangqu,yangping,,V
S1,新房,di,ct,,HL_RF,HLLM,,47,S1_47_ct,HL,RF,,yinping,yangping,,M
S1,黄花,di,ct,,RF_HH,LLLM,,48,S1_48_ct,RF,HH,,yangping,yinping,,M
S1,老房,di,ct,,RF_RF,LLHL,LMHL,49,S1_49_ct,RF,RF,,yangshang,yangping,,M
S1,开门,di,ct,,HH_RF,MHHL,,50,S1_50_ct,HH,RF,,yinping,yangping,,V
S1,新路,di,ct,,HL_LH,HLLM,,51,S1_51_ct,HL,LH,,yinping,yangqu,,M
S1,黄树,di,ct,,RF_LH,LLLM,,52,S1_52_ct,RF,LH,,yangping,yangqu,,M
S2,青椒,di,ct,,HH_HH,,,1,S2_1_ct,HH,HH,,yinping,yinping,,L
S2,水牛,di,ct,,HH_RF,MHHL,,2,S2_2_ct,HH,RF,,yinshang,yangping,,L
S2,书包,di,ct,,HH_HH,MMMH,,3,S2_3_ct,HH,HH,,yinping,yinping,,L
S2,买布,di,ct,,LH_HL,LLHL,,4,S2_4_ct,LH,HL,,yangshang,yinqu,,V
S2,苦瓜,di,ct,,HH_HH,HHHH,,5,S2_5_ct,HH,HH,,yinshang,yinping,,L
S2,黄瓜,di,ct,,RF_HH,LLHH,LLMH,6,S2_6_ct,RF,HH,,yangping,yinping,,L
S2,手机,di,ct,,HH_HH,MHHL,MMHL,7,S2_7_ct,HH,HH,,yinshang,yinping,,L
S2,老店,di,ct,,RF_HL,LLHL,,8,S2_8_ct,RF,HL,,yangshang,yinqu,,M
S2,樱花,di,ct,,HH_HH,MMMH,,9,S2_9_ct,HH,HH,,yinping,yinping,,L
S2,开店,di,ct,,HH_HL,MHHL,,10,S2_10_ct,HH,HL,,yinping,yinqu,,V
S2,青菜,di,ct,,HH_HL,HMML,RFLL,11,S2_11_ct,HH,HL,,yinping,yinqu,,L
S2,小门,di,ct,,HH_RF,MHHL,MMHL,12,S2_12_ct,HH,RF,,yinshang,yangping,,M
S2,采花,di,ct,,HH_HH,MMMH,,13,S2_13_ct,HH,HH,,yinshang,yinping,,V
S2,小店,di,ct,,HH_HL,MHHL,MMHL,14,S2_14_ct,HH,HL,,yinshang,yinqu,,M
S2,海带,di,ct,,HH_HL,MHHL,MMHL,15,S2_15_ct,HH,HL,,yinshang,yinqu,,L
S2,黄布,di,ct,,RF_HL,LMML,,16,S2_16_ct,RF,HL,,yangping,yinqu,,M
S2,樱桃,di,ct,,HH_RF,MMMH,,17,S2_17_ct,HH,RF,,yinping,yangping,,L
S2,修门,di,ct,,HH_RF,MHHL,,18,S2_18_ct,HH,RF,,yinping,yangping,,V
S2,草莓,di,ct,,HH_RF,MHHL,MMHL,19,S2_19_ct,HH,RF,,yinshang,yangping,,L
S2,老车,di,ct,,RF_HH,LLHH,LLMH,20,S2_20_ct,RF,HH,,yangshang,yinping,,M
S2,书房,di,ct,,HH_RF,MMMH,,21,S2_21_ct,HH,RF,,yinping,yangping,,L
S2,买饭,di,ct,,LH_LH,LLLH,,22,S2_22_ct,LH,LH,,yangshang,yangqu,,V
S2,手链,di,ct,,HH_RF,MHHL,MMHL,23,S2_23_ct,HH,RF,,yinshang,yangqu,,L
S2,造纸,di,ct,,RF_HH,LLLM,,24,S2_24_ct,RF,HH,,yangqu,yinshang,,V
S2,青豆,di,ct,,HH_LH,MMMH,,25,S2_25_ct,HH,LH,,yinping,yangqu,,L
S2,小树,di,ct,,HH_LH,,,26,S2_26_ct,HH,LH,,yinshang,yangqu,,M
S2,扁豆,di,ct,,HH_LH,,,27,S2_27_ct,HH,LH,,yinshang,yangqu,,L
S2,黄绳,di,ct,,RF_RF,LLLM,,28,S2_28_ct,RF,RF,,yangping,yangping,,M
