token,ind_no,focus_condition,diortri,sandhi_tone,syntax_iniTone,sandhi_tone_var
青,S1_1,citation,,,,
书,S1_3,citation,,,,
椒,S1_5,citation,,,,
苦,S1_7,citation,,,,
包,S1_9,citation,,,,
手,S1_11,citation,,,,
瓜,S1_13,citation,,,,
樱,S1_15,citation,,,,
机,S1_17,citation,,,,
花,S1_19,citation,,,,
海,S1_21,citation,,,,
菜,S1_23,citation,,,,
带,S1_25,citation,,,,
草,S1_24,citation,,,,
桃,S1_26,citation,,,,
莓,S1_28,citation,,,,
水,S1_27,citation,,,,
房,S1_30,citation,,,,
牛,S1_32,citation,,,,
链,S1_2,citation,,,,
豆,S1_29,citation,,,,
扁,S1_31,citation,,,,
黄,S1_34,citation,,,,
梅,S1_36,citation,,,,
皮,S1_4,citation,,,,
袄,S1_33,citation,,,,
油,S1_14,citation,,,,
杨,S1_16,citation,,,,
鞋,S1_38,citation,,,,
小,S1_35,citation,,,,
新,S1_37,citation,,,,
车,S1_39,citation,,,,
店,S1_18,citation,,,,
门,S1_20,citation,,,,
树,S1_40,citation,,,,
路,S1_8,citation,,,,
老,S1_41,citation,,,,
布,S1_12,citation,,,,
绳,S1_6,citation,,,,
开,S1_42,citation,,,,
修,S1_44,citation,,,,
锁,S1_46,citation,,,,
采,S1_48,citation,,,,
买,S1_22,citation,,,,
造,S1_43,citation,,,,
茶,S1_45,citation,,,,
纸,S1_50,citation,,,,
饭,S1_47,citation,,,,
船,S1_49,citation,,,,
工,S1_52,citation,,,,
人,S1_51,citation,,,,
籽,S1_55,citation,,,,
厂,S1_57,citation,,,,
毛,S1_10,citation,,,,
青,S2_1,citation,,,,
链,S2_2,citation,,,,
书,S2_3,citation,,,,
皮,S2_4,citation,,,,
椒,S2_5,citation,,,,
绳,S2_6,citation,,,,
苦,S2_7,citation,,,,
路,S2_8,citation,,,,
包,S2_9,citation,,,,
毛,S2_10,citation,,,,
手,S2_11,citation,,,,
布,S2_12,citation,,,,
瓜,S2_13,citation,,,,
油,S2_14,citation,,,,
樱,S2_15,citation,,,,
杨,S2_16,citation,,,,
机,S2_17,citation,,,,
店,S2_18,citation,,,,
花,S2_19,citation,,,,
门,S2_20,citation,,,,
海,S2_21,citation,,,,
买,S2_22,citation,,,,
菜,S2_23,citation,,,,
草,S2_24,citation,,,,
带,S2_25,citation,,,,
桃,S2_26,citation,,,,
水,S2_27,citation,,,,
莓,S2_28,citation,,,,
豆,S2_29,citation,,,,
房,S2_30,citation,,,,
扁,S2_31,citation,,,,
牛,S2_32,citation,,,,
袄,S2_33,citation,,,,
黄,S2_34,citation,,,,
小,S2_35,citation,,,,
梅,S2_36,citation,,,,
新,S2_37,citation,,,,
鞋,S2_38,citation,,,,
车,S2_39,citation,,,,
树,S2_40,citation,,,,
老,S2_41,citation,,,,
开,S2_42,citation,,,,
造,S2_43,citation,,,,
修,S2_44,citation,,,,
茶,S2_45,citation,,,,
锁,S2_46,citation,,,,
饭,S2_47,citation,,,,
采,S2_48,citation,,,,
船,S2_49,citation,,,,
纸,S2_50,citation,,,,
人,S2_51,citation,,,,
工,S2_52,citation,,,,
籽,S2_55,citation,,,,
厂,S2_57,citation,,,,
青,S3_1,citation,,,,
链,S3_2,citation,,,,
书,S3_3,citation,,,,
皮,S3_4,citation,,,,
椒,S3_5,citation,,,,
绳,S3_6,citation,,,,
苦,S3_7,citation,,,,
路,S3_8,citation,,,,
包,S3_9,citation,,,,
毛,S3_10,citation,,,,
手,S3_11,citation,,,,
布,S3_12,citation,,,,
瓜,S3_13,citation,,,,
油,S3_14,citation,,,,
樱,S3_15,citation,,,,
杨,S3_16,citation,,,,
机,S3_17,citation,,,,
店,S3_18,citation,,,,
花,S3_19,citation,,,,
门,S3_20,citation,,,,
海,S3_21,citation,,,,
买,S3_22,citation,,,,
菜,S3_23,citation,,,,
草,S3_24,citation,,,,
带,S3_25,citation,,,,
桃,S3_26,citation,,,,
水,S3_27,citation,,,,
莓,S3_28,citation,,,,
